timestamp,value,classification,date
1537680600,38,Fear,1970-01-01
1537767000,43,Fear,1970-01-01
1537853400,37,Fear,1970-01-01
1537939800,37,Fear,1970-01-01
1538026200,42,Fear,1970-01-01
1538112600,42,Fear,1970-01-01
1538199000,37,Fear,1970-01-01
1538285400,34,Fear,1970-01-01
1538371800,35,Fear,1970-01-01
1538458200,33,Fear,1970-01-01
1538544600,36,Fear,1970-01-01
1538631000,29,Fear,1970-01-01
1538717400,37,Fear,1970-01-01
1538803800,34,Fear,1970-01-01
1538890200,29,Fear,1970-01-01
1538976600,26,Fear,1970-01-01
1539063000,31,Fear,1970-01-01
1539149400,28,Fear,1970-01-01
1539235800,19,Extreme Fear,1970-01-01
1539322200,13,Extreme Fear,1970-01-01
1539408600,15,Extreme Fear,1970-01-01
1539495000,18,Extreme Fear,1970-01-01
1539581400,20,Extreme Fear,1970-01-01
1539667800,24,Extreme Fear,1970-01-01
1539754200,23,Extreme Fear,1970-01-01
1539840600,26,Fear,1970-01-01
1539927000,24,Extreme Fear,1970-01-01
1540013400,21,Extreme Fear,1970-01-01
1540099800,21,Extreme Fear,1970-01-01
1540186200,27,Fear,1970-01-01
1540272600,24,Extreme Fear,1970-01-01
1540359000,23,Extreme Fear,1970-01-01
1540445400,25,Fear,1970-01-01
1540531800,29,Fear,1970-01-01
1540618200,33,Fear,1970-01-01
1540704600,35,Fear,1970-01-01
1540791000,34,Fear,1970-01-01
1540877400,31,Fear,1970-01-01
1540963800,32,Fear,1970-01-01
1541050200,29,Fear,1970-01-01
1541136600,36,Fear,1970-01-01
1541223000,36,Fear,1970-01-01
1541309400,41,Fear,1970-01-01
1541395800,42,Fear,1970-01-01
1541482200,42,Fear,1970-01-01
1541568600,48,Neutral,1970-01-01
1541655000,51,Neutral,1970-01-01
1541741400,47,Neutral,1970-01-01
1541827800,52,Neutral,1970-01-01
1541914200,54,Neutral,1970-01-01
1542000600,52,Neutral,1970-01-01
1542087000,56,Greed,1970-01-01
1542173400,49,Neutral,1970-01-01
1542259800,28,Fear,1970-01-01
1542346200,23,Extreme Fear,1970-01-01
1542432600,24,Extreme Fear,1970-01-01
1542519000,26,Fear,1970-01-01
1542605400,28,Fear,1970-01-01
1542691800,21,Extreme Fear,1970-01-01
1542778200,15,Extreme Fear,1970-01-01
1542864600,14,Extreme Fear,1970-01-01
1542951000,12,Extreme Fear,1970-01-01
1543037400,15,Extreme Fear,1970-01-01
1543123800,9,Extreme Fear,1970-01-01
1543210200,17,Extreme Fear,1970-01-01
1543296600,11,Extreme Fear,1970-01-01
1543383000,14,Extreme Fear,1970-01-01
1543469400,18,Extreme Fear,1970-01-01
1543555800,19,Extreme Fear,1970-01-01
1543642200,13,Extreme Fear,1970-01-01
1543728600,15,Extreme Fear,1970-01-01
1543815000,17,Extreme Fear,1970-01-01
1543901400,12,Extreme Fear,1970-01-01
1543987800,19,Extreme Fear,1970-01-01
1544074200,13,Extreme Fear,1970-01-01
1544160600,11,Extreme Fear,1970-01-01
1544247000,11,Extreme Fear,1970-01-01
1544333400,14,Extreme Fear,1970-01-01
1544419800,19,Extreme Fear,1970-01-01
1544506200,15,Extreme Fear,1970-01-01
1544592600,14,Extreme Fear,1970-01-01
1544679000,14,Extreme Fear,1970-01-01
1544765400,10,Extreme Fear,1970-01-01
1544851800,11,Extreme Fear,1970-01-01
1544938200,13,Extreme Fear,1970-01-01
1545024600,17,Extreme Fear,1970-01-01
1545111000,23,Extreme Fear,1970-01-01
1545197400,21,Extreme Fear,1970-01-01
